crossword_form,length,lemma,pos,date,formation,definition,url
DAEDALIZE,9,daedalize,verb,a1618,derivative,transitive. To make intricate or maze-like.,http://www.oed.com/dictionary/daedalize_v
DEARTHFUL,9,dearthful,adjective,1786,derivative,"Costly, expensive.",http://www.oed.com/dictionary/dearthful_adj
DECOGNIZE,9,decognize,verb,1659,derivative,transitive. To cease or fail to recognize.,http://www.oed.com/dictionary/decognize_v
DELIGNATE,9,delignate,verb,1655,borrowing,transitive. To remove wood or trees from (a place).,http://www.oed.com/dictionary/delignate_v
DEPRIVADO,9,deprivado,noun,1728,derivative,A person who has been deprived (of office…,http://www.oed.com/dictionary/deprivado_n
DISDESIRE,9,disdesire,verb,1651,derivative,transitive. To do the reverse of desiring; to…,http://www.oed.com/dictionary/disdesire_v
DISTHATCH,9,disthatch,verb,1654,derivative,transitive. To deprive of thatch (in quot. 1654…,http://www.oed.com/dictionary/disthatch_v
DISYELLOW,9,disyellow,verb,1586,derivative,transitive. To remove the yellow from; to rid of…,http://www.oed.com/dictionary/disyellow_v
DUMMERELL,9,dummerell,noun,1593,derivative,Probably: a person who pretends to be unable to…,http://www.oed.com/dictionary/dummerell_n
DUOPOLIZE,9,duopolize,verb,1659,borrowing,transitive. To engross between two.,http://www.oed.com/dictionary/duopolize_v
EARTHHORN,9,earth horn,noun,?a1400,compound,An instrument said to have been used by the…,http://www.oed.com/dictionary/earth-horn_n
EXVACCINE,9,ex-vaccine,adjective,1804,borrowing,Obtained from a cow.,http://www.oed.com/dictionary/ex-vaccine_adj
FARMERAGE,9,farmerage,noun,1828,derivative,The body of farmers collectively.,http://www.oed.com/dictionary/farmerage_n
FASHIONLY,9,fashionly,adjective,1613,derivative,Perhaps: influenced by changes in fashion; fashionable.,http://www.oed.com/dictionary/fashionly_adj
FRANTLING,9,frantling,noun,1693,unknown,Used to express the noise made by peacocks.,http://www.oed.com/dictionary/frantling_n
FRESHHOOD,9,freshhood,noun,1836,compound,The condition or state of being a freshman; =…,http://www.oed.com/dictionary/freshhood_n
FRESHMENT,9,freshment,noun,1611,derivative,Refreshing influence.,http://www.oed.com/dictionary/freshment_n
GENIUSKIN,9,geniuskin,noun,1882,derivative,A little genius or attendant spirit (see genius…,http://www.oed.com/dictionary/geniuskin_n
GENTLYING,9,gentlying,noun,1851,derivative,"An utterance of ‘gently’ (cf. gently, adv. 3b).",http://www.oed.com/dictionary/gentlying_n
GRAMMATES,9,grammates,noun,1633,borrowing,With plural agreement. Rudiments; first principles.,http://www.oed.com/dictionary/grammates_n
GREGATION,9,gregation,noun,1621,borrowing,"A crowd, multitude (see quot. 1621).",http://www.oed.com/dictionary/gregation_n
HALFHORSY,9,half-horsy,adjective,1591,compound,"Designating a centaur. Cf. half-horse, n.",http://www.oed.com/dictionary/half-horsy_adj
HARMONIAC,9,harmoniac,adjective,1771,borrowing,"Relating to harmony, or to the cultivation of…",http://www.oed.com/dictionary/harmoniac_adj
HAZARDISE,9,hazardise,noun,1590,derivative,"A hazardous position, a condition of peril or risk.",http://www.oed.com/dictionary/hazardise_n
HEALTHIST,9,healthist,noun,1640,derivative,A person who is given to drinking people's…,http://www.oed.com/dictionary/healthist_n
HUSSARIAN,9,hussarian,noun,1760,blend,Apparently: a person born or living in Germany or…,http://www.oed.com/dictionary/hussarian_n
IMPETICOS,9,impeticos,verb,a1616,variant,transitive. To put (something) into one's pocket…,http://www.oed.com/dictionary/impeticos_v
INCIRCLET,9,incirclet,noun,a1586,derivative,A little circular curl or spiral.,http://www.oed.com/dictionary/incirclet_n
INSCRUPLE,9,inscruple,verb,1663,derivative,transitive. To possess with scruples.,http://www.oed.com/dictionary/inscruple_v
INSECTIVE,9,insective,adjective,a1834,borrowing,? Characteristic of insects.,http://www.oed.com/dictionary/insective_adj
IRONWORKY,9,iron-worky,adjective,1885,derivative,Abounding in or characterized by ironwork.,http://www.oed.com/dictionary/iron-worky_adj
JUNKETOUS,9,junketous,adjective,1830,derivative,Given to junketing or merrymaking.,http://www.oed.com/dictionary/junketous_adj
KENNELAGE,9,kennelage,noun,1612,derivative,"A system of kennels, gutters collectively.",http://www.oed.com/dictionary/kennelage_n
KINGINESS,9,kinginess,noun,a1849,derivative,"Kingly quality, kingliness.",http://www.oed.com/dictionary/kinginess_n
KNAIFATIC,9,knaifatic,adjective,1568,derivative,"Knavish; dishonest, unscrupulous.",http://www.oed.com/dictionary/knaifatic_adj
LOVEPAPER,9,love paper,noun,a1627,compound,A love letter.,http://www.oed.com/dictionary/love-paper_n
LOVERTINE,9,lovertine,adjective,1603,blend,That enjoys being in love.,http://www.oed.com/dictionary/lovertine_adj
LUXURIETY,9,luxuriety,noun,a1768,derivative,Luxuriance.,http://www.oed.com/dictionary/luxuriety_n
MACEPROOF,9,mace-proof,adjective,1633,compound,Safe from arrest.,http://www.oed.com/dictionary/mace-proof_adj
MANUTRACT,9,manu-tract,noun,1660,borrowing,Something traced by hand.,http://www.oed.com/dictionary/manu-tract_n
MARTYRAGO,9,martyrago,noun,1654,compound,A female martyr.,http://www.oed.com/dictionary/martyrago_n
MEATIFIED,9,meatified,adjective,1607,derivative,Probably: corpulent.,http://www.oed.com/dictionary/meatified_adj
MERITRESS,9,meritress,noun,1617,derivative,A woman who merits something. (In quot. 1617…,http://www.oed.com/dictionary/meritress_n
MEROCRACY,9,merocracy,noun,1652,borrowing,Government by a small number out of the whole.,http://www.oed.com/dictionary/merocracy_n
MICRONYMY,9,micronymy,noun,1889,compound,The use of short names or terms.,http://www.oed.com/dictionary/micronymy_n
MICROPTIC,9,microptic,adjective,1800,compound,Microscopic.,http://www.oed.com/dictionary/microptic_adj
MILLENIZE,9,millenize,verb,1593,borrowing,intransitive. To favour millenarian views.,http://www.oed.com/dictionary/millenize_v
MILLIFORM,9,milliform,adjective,c1581,compound,Of a thousand shapes or aspects.,http://www.oed.com/dictionary/milliform_adj
MINIMATED,9,minimated,adjective,a1626,borrowing,Reduced to the smallest size possible.,http://www.oed.com/dictionary/minimated_adj
MITEOLOGY,9,miteology,noun,1803,compound,The study of mites.,http://www.oed.com/dictionary/miteology_n
MOBREADER,9,mob-reader,noun,1697,compound,A reader belonging to the mob; an uneducated reader.,http://www.oed.com/dictionary/mob-reader_n
MOCKANIST,9,mockanist,noun,c1540,derivative,A person who mocks; a mocker.,http://www.oed.com/dictionary/mockanist_n
MOCKCLOWN,9,mock-clown,noun,1598,compound,Perhaps: a kind of dance step.,http://www.oed.com/dictionary/mock-clown_n
MOONDRAKE,9,moon-drake,noun,a1635,,A fiery moon.,http://www.oed.com/dictionary/moon-drake_n
MOSQUELET,9,mosquelet,noun,1888,derivative,A little mosque.,http://www.oed.com/dictionary/mosquelet_n
MOTHERAGE,9,motherage,noun,a1591,derivative,The condition or state of being a mother.,http://www.oed.com/dictionary/motherage_n
MOUNDLESS,9,moundless,adjective,1605,derivative,That is not a true world; formless.,http://www.oed.com/dictionary/moundless_adj
MOVERSHIP,9,movership,noun,1658,derivative,Only in first movership n. the position or office…,http://www.oed.com/dictionary/movership_n
NAVIFAUNA,9,navifauna,noun,1879,borrowing,The fauna found on a ship.,http://www.oed.com/dictionary/navifauna_n
NICOTIANT,9,nicotiant,adjective,1877,derivative,That is smoking tobacco.,http://www.oed.com/dictionary/nicotiant_adj
OBSERVIST,9,observist,noun,1827,derivative,A person who engages in observation; an observer.,http://www.oed.com/dictionary/observist_n
OEDIPODIC,9,oedipodic,adjective,1694,borrowing,Swollen-footed; gouty.,http://www.oed.com/dictionary/oedipodic_adj
OLOGISTIC,9,ologistic,adjective,a1861,derivative,"Of, relating to, or characteristic of an ‘ologist’.",http://www.oed.com/dictionary/ologistic_adj
OSCULABLE,9,osculable,adjective,1893,derivative,That can be kissed.,http://www.oed.com/dictionary/osculable_adj
OUTCHANGE,9,outchange,noun,1695,derivative,Perhaps: exchange of currency for that of a…,http://www.oed.com/dictionary/outchange_n
OUTFINGER,9,outfinger,verb,1880,derivative,(transitive) to open the fingers of (a hand).,http://www.oed.com/dictionary/outfinger_v
OUTWITTAL,9,outwittal,noun,1875,derivative,The fact of outwitting someone.,http://www.oed.com/dictionary/outwittal_n
OVERATLAS,9,over-Atlas,verb,1593,derivative,transitive. To load or burden more than Atlas; to…,http://www.oed.com/dictionary/over-atlas_v
OVERTOISE,9,overtoise,verb,1840,derivative,transitive. To measure out in toises.,http://www.oed.com/dictionary/overtoise_v
OXYGENITY,9,oxygenity,noun,1894,derivative,The quality of being oxygenous.,http://www.oed.com/dictionary/oxygenity_n
OYSTERIZE,9,oysterize,verb,1793,derivative,(transitive) (perhaps) to open up like an oyster.,http://www.oed.com/dictionary/oysterize_v
PADRONAGE,9,padronage,noun,1670,borrowing,"= padronancy, n.",http://www.oed.com/dictionary/padronage_n
PAMPERIZE,9,pamperize,verb,a1845,derivative,"= pamper, v.",http://www.oed.com/dictionary/pamperize_v
PANOMPHIC,9,Panomphic,adjective,1822,borrowing,"= Panomphaean, adj. 3.",http://www.oed.com/dictionary/panomphic_adj
PANORAMAL,9,panoramal,adjective,1808,derivative,Prone to take a panoramic view or survey.,http://www.oed.com/dictionary/panoramal_adj
PARDONOUS,9,pardonous,adjective,1610,derivative,Full of pardon.,http://www.oed.com/dictionary/pardonous_adj
PARVENANT,9,parvenant,noun,1843,borrowing,A person who is acquiring a higher social…,http://www.oed.com/dictionary/parvenant_n
PASTPRIME,9,past-prime,adjective,1883,compound,"= past-meridian, adj.",http://www.oed.com/dictionary/past-prime_adj
PAULOPAST,9,paulo-past,adjective,1880,variant,That is recently past; relating to something…,http://www.oed.com/dictionary/paulo-past_adj
PEDOEUVRE,9,pedoeuvre,noun,1825,borrowing,A planned movement or action performed with the feet.,http://www.oed.com/dictionary/pedoeuvre_n
PENNISOME,9,pennisome,adjective,1631,derivative,"Lucrative, profitable.",http://www.oed.com/dictionary/pennisome_adj
PEPTICIAN,9,peptician,noun,1831,derivative,A person who has good digestion.,http://www.oed.com/dictionary/peptician_n
PEPTICITY,9,pepticity,noun,1838,derivative,The condition of having good digestion.,http://www.oed.com/dictionary/pepticity_n
PETTISHIP,9,pettiship,noun,1581,derivative,Littleness; pettiness.,http://www.oed.com/dictionary/pettiship_n
PHAGOLOGY,9,phagology,noun,1837,borrowing,The feeding habits of an animal or animals.,http://www.oed.com/dictionary/phagology_n
PIGGICIDE,9,piggicide,noun,1837,compound,A person who kills pigs.,http://www.oed.com/dictionary/piggicide_n
PILLARIZE,9,pillarize,verb,1827,derivative,"transitive. To inscribe on, or commemorate by…",http://www.oed.com/dictionary/pillarize_v
PINIONIST,9,pinionist,noun,1613,derivative,A winged creature.,http://www.oed.com/dictionary/pinionist_n
PIPEMERRY,9,pipe merry,adjective,1542,compound,Merry from drinking wine; drunk.,http://www.oed.com/dictionary/pipe-merry_adj
PLAYWOMAN,9,playwoman,noun,1889,compound,An actress of plays.,http://www.oed.com/dictionary/playwoman_n
PLUTONIZE,9,plutonize,verb,1600,proper name,transitive. To make infernal or demonic.,http://www.oed.com/dictionary/plutonize_v
POETASTIC,9,poetastic,adjective,1893,derivative,Of the nature of a poetaster.,http://www.oed.com/dictionary/poetastic_adj
POINTLING,9,pointling,noun,1840,derivative,A little index finger.,http://www.oed.com/dictionary/pointling_n
POLYNESIA,9,polynesia,noun,1889,proper name,A group of objects resembling the Polynesian islands.,http://www.oed.com/dictionary/polynesia_n
POTBOYDOM,9,potboydom,noun,1850,derivative,Pot-boys collectively.,http://www.oed.com/dictionary/potboydom_n
POTHOUSEY,9,pot-housey,adjective,1872,derivative,Suggestive of or appropriate to a pothouse. Cf…,http://www.oed.com/dictionary/pot-housey_adj
POTPANION,9,potpanion,noun,c1565,shortening,A drinking companion.,http://www.oed.com/dictionary/potpanion_n
POTTIPPED,9,pot-tipped,adjective,1638,compound,"Of the nose, reddened at the tip by drinking.",http://www.oed.com/dictionary/pot-tipped_adj
PRAYERING,9,prayering,noun,1828,derivative,The act of saying prayers; praying.,http://www.oed.com/dictionary/prayering_n
PREGUSTIC,9,pregustic,noun,1694,derivative,"= pregustator, n.",http://www.oed.com/dictionary/pregustic_n
PRIDELING,9,prideling,noun,1825,derivative,A proud young person.,http://www.oed.com/dictionary/prideling_n
PRIMOSITY,9,primosity,noun,?a1806,derivative,Primness.,http://www.oed.com/dictionary/primosity_n
PROCURISH,9,procurish,adjective,1687,derivative,Like a procuress.,http://www.oed.com/dictionary/procurish_adj
PROFLATED,9,proflated,adjective,1816,borrowing,Of the cheeks or mouth: puffed up with air.,http://www.oed.com/dictionary/proflated_adj
PSILOLOGY,9,psilology,noun,a1834,variant,"Vacuous chatter, mere talk.",http://www.oed.com/dictionary/psilology_n
PUELLULAR,9,puellular,adjective,1861,borrowing,"= puellile, adj.",http://www.oed.com/dictionary/puellular_adj
PULPITARY,9,pulpitary,adjective,1784,derivative,"= pulpitical, adj.",http://www.oed.com/dictionary/pulpitary_adj
PUNKETTEE,9,punkettee,noun,1612,derivative,"A young prostitute. Cf. punketto, n.¹",http://www.oed.com/dictionary/punkettee_n
PYRURGIAN,9,pyrurgian,noun,1684,compound,"A physician who uses, or specializes in the use…",http://www.oed.com/dictionary/pyrurgian_n
RASCALESS,9,rascaless,noun,1747,derivative,A female rascal.,http://www.oed.com/dictionary/rascaless_n
READMIRAL,9,readmiral,verb,1599,derivative,transitive. To make (a person) an admiral again.,http://www.oed.com/dictionary/readmiral_v
REGATTING,9,regatting,noun,1843,derivative,Participation in a regatta or regattas.,http://www.oed.com/dictionary/regatting_n
REPAGANIC,9,repaganic,adjective,1701,derivative,Displaying characteristics of a renewed paganization.,http://www.oed.com/dictionary/repaganic_adj
RESERVERY,9,reservery,noun,1878,derivative,The occupation of serving as a reservist.,http://www.oed.com/dictionary/reservery_n
ROMANCITY,9,romancity,noun,1828,derivative,A romantic quality or characteristic.,http://www.oed.com/dictionary/romancity_n
SACERDOTE,9,sacerdote,noun,1685,borrowing,A priest.,http://www.oed.com/dictionary/sacerdote_n
SARACENLY,9,Saracenly,adverb,1596,derivative,In a barbarous or cruelly harsh manner.,http://www.oed.com/dictionary/saracenly_adv
SCALPTIZE,9,scalptize,verb,1708,borrowing,transitive. To scratch.,http://www.oed.com/dictionary/scalptize_v
SCEPTROUS,9,sceptrous,adjective,1822,derivative,Of the nature of a sceptre.,http://www.oed.com/dictionary/sceptrous_adj
SELLTRUTH,9,sell-truth,noun,1682,compound,A person willing to deny or ignore the truth for…,http://www.oed.com/dictionary/sell-truth_n
SHAVESTER,9,shavester,noun,1620,derivative,A barber.,http://www.oed.com/dictionary/shavester_n
SHORTLIVY,9,short livy,adjective,a1325,derivative,Short-lived.,http://www.oed.com/dictionary/short-livy_adj
SINGALONE,9,sing-alone,noun,1691,compound,A solo singer.,http://www.oed.com/dictionary/sing-alone_n
STEPTULLY,9,step-Tully,noun,1593,,A person who attempts (but fails) to write like…,http://www.oed.com/dictionary/step-tully_n
STOOPFROG,9,stoop-frog,noun,1589,compound,An oppressor of frogs (the King Stork of the fable).,http://www.oed.com/dictionary/stoop-frog_n
SUBRISORY,9,subrisory,adjective,1861,borrowing,Characterized by a smiling playfulness; amusing.,http://www.oed.com/dictionary/subrisory_adj
SUBVIRATE,9,subvirate,noun,1861,borrowing,A class of men who are weaker and less manly than…,http://www.oed.com/dictionary/subvirate_n
SURPASSED,9,surpassed,adjective,1725,derivative,Bygone.,http://www.oed.com/dictionary/surpassed_adj
THINKACHE,9,thinkache,noun,1892,compound,"A painful thought, an instance of mental suffering.",http://www.oed.com/dictionary/thinkache_n
TOMBOYADE,9,tomboyade,noun,1886,derivative,An escapade typical of or appropriate to a tomboy.,http://www.oed.com/dictionary/tomboyade_n
TOTHERDAY,9,tother-day,adjective,1662,compound,"(See tother, pron. II.6c), that happened or…",http://www.oed.com/dictionary/tother-day_adj
TOTILATER,9,totilater,noun,1629,borrowing,"A figure that is ‘all side’, or consists of an…",http://www.oed.com/dictionary/totilater_n
TRANSTIME,9,transtime,verb,1647,derivative,transitive. To change as to time.,http://www.oed.com/dictionary/transtime_v
TRAVATURE,9,travature,noun,1730,borrowing,"A joist. Cf. trave, n. 2.",http://www.oed.com/dictionary/travature_n
TUNICHOOD,9,tunic-hood,noun,1858,derivative,The fact of being a person who wears a tunic.,http://www.oed.com/dictionary/tunic-hood_n
TURKISHER,9,Turkisher,noun,1607,derivative,A Turk.,http://www.oed.com/dictionary/turkisher_n
TYMPANIED,9,tympanied,adjective,1637,derivative,"Inflated as with a tympany, puffed up.",http://www.oed.com/dictionary/tympanied_adj
UNPAIDISH,9,unpaidish,adjective,1829,derivative,Characteristic of the Great Unpaid.,http://www.oed.com/dictionary/unpaidish_adj
UPPERPLUS,9,upperplus,noun,1578,variant,"Surplus, balance.",http://www.oed.com/dictionary/upperplus_n
VENTILARY,9,ventilary,adjective,1683,borrowing,Due to or caused by wind.,http://www.oed.com/dictionary/ventilary_adj
VOLANTIER,9,volantier,noun,1791,derivative,"The driver of a volante (volante, n.).",http://www.oed.com/dictionary/volantier_n
WAFERWALL,9,wafer-wall,noun,1620,compound,A wall flimsy as a wafer.,http://www.oed.com/dictionary/wafer-wall_n
WARLINESS,9,warliness,noun,1605,derivative,Warlike disposition; courage in war.,http://www.oed.com/dictionary/warliness_n
WATCHHOUR,9,watch hour,noun,?a1534,compound,"The hour for sounding the watch (cf. watch, n. I.4).",http://www.oed.com/dictionary/watch-hour_n
WATCHMENT,9,watchment,noun,1740,derivative,An instance of keeping watch.,http://www.oed.com/dictionary/watchment_n
WATCHNICK,9,watch-nick,noun,1897,compound,A minuscule saw made from a watch-spring.,http://www.oed.com/dictionary/watch-nick_n
WATERWANT,9,water-want,adjective,1605,compound,That can endure shortage of water.,http://www.oed.com/dictionary/water-want_adj
WEEDYSLOW,9,weedy-slow,adverb,1921,compound,Extremely slowly.,http://www.oed.com/dictionary/weedy-slow_adv
WHIPBROTH,9,whip-broth,noun,1615,compound,"A ‘taste of the whip’, a flogging.",http://www.oed.com/dictionary/whip-broth_n
WHORECALL,9,whore-call,noun,a1692,compound,Something whose sound is liable to attract…,http://www.oed.com/dictionary/whore-call_n
WHORETOLL,9,whore toll,noun,1545,compound,A sum of money paid by priests for committing…,http://www.oed.com/dictionary/whore-toll_n
WILLDOALL,9,will-do-all,noun,1583,compound,Money.,http://www.oed.com/dictionary/will-do-all_n
WITHCHILD,9,with-child,verb,1605,compound,"transitive. To ‘get with child’, make pregnant.",http://www.oed.com/dictionary/with-child_v
WOMANBOND,9,woman bond,noun,1675,compound,"= bondwoman, n.",http://www.oed.com/dictionary/woman-bond_n
WRITINGER,9,writinger,noun,1867,derivative,An expert or specialist in handwriting.,http://www.oed.com/dictionary/writinger_n
YEARNLING,9,yearnling,noun,1829,derivative,A young child over which one yearns.,http://www.oed.com/dictionary/yearnling_n
ACHRISTISM,10,a-Christism,noun,1692,derivative,Disbelief in the divinity of Jesus Christ.,http://www.oed.com/dictionary/a-christism_n
ANGELPROOF,10,angel-proof,noun,1607,compound,(With reference to gold) purity of the standard…,http://www.oed.com/dictionary/angel-proof_n
ANTIMONYAN,10,anti-monyan,adjective,1683,derivative,Designating the principle that the lending of…,http://www.oed.com/dictionary/anti-monyan_adj
BABLATRICE,10,bablatrice,noun,1595,derivative,Perhaps: a female babbler.,http://www.oed.com/dictionary/bablatrice_n
BABLIAMINY,10,babliaminy,noun,1608,compound,A babbler.,http://www.oed.com/dictionary/babliaminy_n
BALLADLING,10,balladling,noun,1798,derivative,A little ballad.,http://www.oed.com/dictionary/balladling_n
BONEBASTER,10,bone-baster,noun,1600,compound,"(A name for) a heavy stick or cudgel; cf. baster, n.²",http://www.oed.com/dictionary/bone-baster_n
BREAKHEDGE,10,break hedge,noun,1573,compound,A trespasser.,http://www.oed.com/dictionary/break-hedge_n
BURGULLIAN,10,burgullian,noun,1601,uncertain,"A braggadocio, bully.",http://www.oed.com/dictionary/burgullian_n
CARRIONERE,10,carrionere,noun,1648,derivative,"A holder or dispenser of carrion, or of that…",http://www.oed.com/dictionary/carrionere_n
CENTIPLUME,10,centiplume,adjective,1874,compound,Having a hundred feathers or plumes.,http://www.oed.com/dictionary/centiplume_adj
CHRISTDUST,10,Christ-dust,noun,1881,compound,Flour.,http://www.oed.com/dictionary/christ-dust_n
CLUBBATIER,10,clubbatier,noun,1680,compound,A man armed with a club or cudgel.,http://www.oed.com/dictionary/clubbatier_n
COACHMATCH,10,coach-match,noun,1647,compound,A chariot race.,http://www.oed.com/dictionary/coach-match_n
CONSISTURE,10,consisture,noun,1706,derivative,Consistency; degree of firmness or density.,http://www.oed.com/dictionary/consisture_n
CONVENISSE,10,convenisse,noun,1661,borrowing,A written agreement; a contract or covenant.,http://www.oed.com/dictionary/convenisse_n
CORDILOQUY,10,cordiloquy,noun,1642,borrowing,The action or practice of speaking from the heart.,http://www.oed.com/dictionary/cordiloquy_n
CORRECTIFY,10,correctify,verb,1637,borrowing,"transitive. To correct, set right.",http://www.oed.com/dictionary/correctify_v
COURTCHAIR,10,court chair,noun,1619,compound,A chair or seat inlaid with ivory and shaped like…,http://www.oed.com/dictionary/court-chair_n
CRACKGROAT,10,crack-groat,noun,1666,compound,A damaged groat; a coin of very little value. Cf…,http://www.oed.com/dictionary/crack-groat_n
CUPISCENCE,10,cupiscence,noun,1647,shortening,"= concupiscence, n.",http://www.oed.com/dictionary/cupiscence_n
DECHEERFUL,10,decheerful,adjective,1608,derivative,"Void of cheerfulness, melancholy.",http://www.oed.com/dictionary/decheerful_adj
DEMULCEATE,10,demulceate,verb,1817,borrowing,"= demulce, v.",http://www.oed.com/dictionary/demulceate_v
DIABOLOGUE,10,diabologue,noun,a1713,borrowing,A literary work in the form of a dialogue and…,http://www.oed.com/dictionary/diabologue_n
DICTIONEER,10,dictioneer,noun,1848,derivative,A self-appointed critic of diction.,http://www.oed.com/dictionary/dictioneer_n
DISBROTHER,10,disbrother,verb,1622,derivative,transitive. To undo the brotherhood of; to make…,http://www.oed.com/dictionary/disbrother_v
DISKINGDOM,10,diskingdom,verb,1596,derivative,transitive. To expel from or deprive of the kingdom.,http://www.oed.com/dictionary/diskingdom_v
DISROYALTY,10,disroyalty,noun,1630,derivative,Undoing of royal dignity.,http://www.oed.com/dictionary/disroyalty_n
DISSOCIETY,10,dissociety,noun,1602,derivative,The opposite of companionship; mutual aversion.,http://www.oed.com/dictionary/dissociety_n
DISTAINTED,10,distainted,adjective,1599,derivative,"Infected, corrupted.",http://www.oed.com/dictionary/distainted_adj
DRIPPLEKIE,10,dripplekie,noun,1662,borrowing,"A very small drop, a driblet.",http://www.oed.com/dictionary/dripplekie_n
DUNGHILLRY,10,dunghillry,noun,1581,derivative,Base or despicable condition or behaviour.,http://www.oed.com/dictionary/dunghillry_n
ECONOMICAR,10,economicar,noun,1523,borrowing,A writer or authority on household management…,http://www.oed.com/dictionary/economicar_n
ELEVENTEEN,10,eleventeen,noun,a1700,compound,Twenty-one.,http://www.oed.com/dictionary/eleventeen_n
EMPUSALAND,10,empusaland,noun,1799,compound,An imaginary land or world inhabited by empusas…,http://www.oed.com/dictionary/empusaland_n
ETCETERAZE,10,etceteraze,verb,1831,derivative,intransitive. To do a number of (unspecified) things.,http://www.oed.com/dictionary/etceteraze_v
FLAPDRAGON,10,flapdragon,verb,a1616,,(transitive) to swallow as one would a flap-dragon.,http://www.oed.com/dictionary/flapdragon_v
FOMBLITUDE,10,fomblitude,noun,1583,derivative,A poor comparison.,http://www.oed.com/dictionary/fomblitude_n
FOOLBEGGED,10,fool-begged,adjective,a1616,compound,"Foolish, ridiculous; cf. to beg (a person) for a…",http://www.oed.com/dictionary/fool-begged_adj
FROGPECKER,10,frog-pecker,noun,1825,compound,A heron.,http://www.oed.com/dictionary/frog-pecker_n
FUNIPOTENT,10,funipotent,adjective,1880,borrowing,That plays tricks with ropes.,http://www.oed.com/dictionary/funipotent_adj
GALLANTIFY,10,gallantify,verb,1672,derivative,transitive (in passive). To be beaten or thrashed…,http://www.oed.com/dictionary/gallantify_v
GALLANTURE,10,gallanture,noun,a1683,derivative,Behaviour characteristic of a gallant (gallant…,http://www.oed.com/dictionary/gallanture_n
GAMEBATTLE,10,game-battle,noun,1826,compound,A tussle with poachers.,http://www.oed.com/dictionary/game-battle_n
GAUSAPINAL,10,gausapinal,adjective,1652,derivative,Made of frieze.,http://www.oed.com/dictionary/gausapinal_adj
GRACIOSOLY,10,graciosoly,adverb,1879,derivative,"In the manner of a clown or gracioso (gracioso, n. 2).",http://www.oed.com/dictionary/graciosoly_adv
GRIEVEMENT,10,grievement,noun,1708,derivative,"A hurt, injury.",http://www.oed.com/dictionary/grievement_n
GROCERWISE,10,grocer-wise,adverb,1897,derivative,In the manner of a grocer.,http://www.oed.com/dictionary/grocer-wise_adv
GUNSLEEVED,10,gun-sleeved,adjective,1782,compound,(Of a garment) having gun-shaped sleeves.,http://www.oed.com/dictionary/gun-sleeved_adj
HEELLIFTER,10,heel lifter,noun,1583,compound,"A fugitive, a runaway.",http://www.oed.com/dictionary/heel-lifter_n
HURRYCURRY,10,hurry-curry,noun,1599,compound,? A swift car or curricle.,http://www.oed.com/dictionary/hurry-curry_n
INCISIONER,10,incisioner,noun,1602,derivative,"One who makes incisions, a surgeon.",http://www.oed.com/dictionary/incisioner_n
INDURATIZE,10,induratize,verb,1598,derivative,transitive. To harden (the heart).,http://www.oed.com/dictionary/induratize_v
INJUSTICER,10,injusticer,noun,a1618,derivative,An agent or officer of injustice.,http://www.oed.com/dictionary/injusticer_n
INTOLERATE,10,intolerate,verb,1767,derivative,transitive. Not to tolerate; to treat with intolerance.,http://www.oed.com/dictionary/intolerate_v
JEWELPROOF,10,jewel-proof,adjective,a1625,compound,Able to resist the attraction of jewels.,http://www.oed.com/dictionary/jewel-proof_adj
KABBALIZER,10,kabbalizer,noun,1593,derivative,A person who interprets texts or events in…,http://www.oed.com/dictionary/kabbalizer_n
KAFFIRHOOD,10,Kaffirhood,noun,1877,derivative,Obsolete. offensive. The state or condition of being a Xhosa.,http://www.oed.com/dictionary/kaffirhood_n
KYVARKNAUE,10,kyvar-knaue,adjective,1563,compound,"= Cover-knave, that covers a knave.",http://www.oed.com/dictionary/kyvar-knaue_adj
LOBSTERIZE,10,lobsterize,verb,1606,derivative,"intransitive. To move backwards, as a lobster is…",http://www.oed.com/dictionary/lobsterize_v
LOGGERSHIP,10,loggership,noun,1634,derivative,Used as a derisive title for a sluggard.,http://www.oed.com/dictionary/loggership_n
LONGLITTLE,10,long-little,noun,1653,compound,A long discussion that has little substance.,http://www.oed.com/dictionary/long-little_n
LONGSTRAWS,10,long-straws,noun,1835,compound,The action or game of drawing straws in order to…,http://www.oed.com/dictionary/long-straws_n
LONGYARNED,10,long-yarned,adjective,1616,compound,(Of life) very or excessively long.,http://www.oed.com/dictionary/long-yarned_adj
LUCIFERING,10,Lucifering,adjective,1596,derivative,Acting the part of Lucifer.,http://www.oed.com/dictionary/lucifering_adj
MAGAZINARY,10,magazinary,noun,1825,derivative,The office or place of production of a magazine.,http://www.oed.com/dictionary/magazinary_n
MAIDENLESS,10,maidenless,adjective,a1603,derivative,Not truly chaste.,http://www.oed.com/dictionary/maidenless_adj
MALEFIDIAN,10,male-fidian,noun,1659,borrowing,A misbeliever.,http://www.oed.com/dictionary/male-fidian_n
MANUSCULPT,10,manusculpt,noun,a1859,borrowing,An inscription carved or engraved by hand.,http://www.oed.com/dictionary/manusculpt_n
MARGINALIC,10,marginalic,adjective,a1849,derivative,Suggestive or reminiscent of marginalia.,http://www.oed.com/dictionary/marginalic_adj
MASTIFFDAY,10,mastiff day,noun,1781,compound,A very hot day.,http://www.oed.com/dictionary/mastiff-day_n
